round,cid,accuracy,num_examples,drift,label
1,12752010034786212735,0.167,1000,False,IID_adwin_s11
1,8543731720318720344,0.156,1000,False,IID_adwin_s11
1,2966352841180254946,0.189,1000,False,IID_adwin_s11
1,996999572881125240,0.159,1000,False,IID_adwin_s11
1,11017658410225379800,0.181,1000,False,IID_adwin_s11
1,4730118721009354814,0.194,1000,False,IID_adwin_s11
1,6838481051918593359,0.158,1000,False,IID_adwin_s11
1,526889655197255184,0.18,1000,False,IID_adwin_s11
1,4024417183169647370,0.155,1000,False,IID_adwin_s11
1,5664985229475002910,0.203,1000,False,IID_adwin_s11
2,5664985229475002910,0.306,1000,False,IID_adwin_s11
2,11017658410225379800,0.311,1000,False,IID_adwin_s11
2,996999572881125240,0.3,1000,False,IID_adwin_s11
2,6838481051918593359,0.292,1000,False,IID_adwin_s11
2,4024417183169647370,0.304,1000,False,IID_adwin_s11
2,2966352841180254946,0.286,1000,False,IID_adwin_s11
2,12752010034786212735,0.294,1000,False,IID_adwin_s11
2,526889655197255184,0.307,1000,False,IID_adwin_s11
2,4730118721009354814,0.319,1000,False,IID_adwin_s11
2,8543731720318720344,0.285,1000,False,IID_adwin_s11
3,4730118721009354814,0.377,1000,False,IID_adwin_s11
3,11017658410225379800,0.37,1000,False,IID_adwin_s11
3,996999572881125240,0.33,1000,False,IID_adwin_s11
3,5664985229475002910,0.369,1000,False,IID_adwin_s11
3,8543731720318720344,0.343,1000,False,IID_adwin_s11
3,6838481051918593359,0.338,1000,False,IID_adwin_s11
3,12752010034786212735,0.333,1000,False,IID_adwin_s11
3,2966352841180254946,0.318,1000,False,IID_adwin_s11
3,4024417183169647370,0.326,1000,False,IID_adwin_s11
3,526889655197255184,0.376,1000,False,IID_adwin_s11
4,11017658410225379800,0.428,1000,False,IID_adwin_s11
4,6838481051918593359,0.389,1000,False,IID_adwin_s11
4,12752010034786212735,0.378,1000,False,IID_adwin_s11
4,4730118721009354814,0.41,1000,False,IID_adwin_s11
4,996999572881125240,0.371,1000,False,IID_adwin_s11
4,5664985229475002910,0.408,1000,False,IID_adwin_s11
4,2966352841180254946,0.382,1000,False,IID_adwin_s11
4,4024417183169647370,0.371,1000,False,IID_adwin_s11
4,526889655197255184,0.422,1000,False,IID_adwin_s11
4,8543731720318720344,0.41,1000,False,IID_adwin_s11
5,2966352841180254946,0.409,1000,False,IID_adwin_s11
5,8543731720318720344,0.416,1000,False,IID_adwin_s11
5,4730118721009354814,0.457,1000,False,IID_adwin_s11
5,5664985229475002910,0.444,1000,False,IID_adwin_s11
5,12752010034786212735,0.425,1000,False,IID_adwin_s11
5,526889655197255184,0.441,1000,False,IID_adwin_s11
5,996999572881125240,0.403,1000,False,IID_adwin_s11
5,4024417183169647370,0.415,1000,False,IID_adwin_s11
5,6838481051918593359,0.424,1000,False,IID_adwin_s11
5,11017658410225379800,0.454,1000,False,IID_adwin_s11
6,5664985229475002910,0.434,1000,False,IID_adwin_s11
6,4024417183169647370,0.435,1000,False,IID_adwin_s11
6,12752010034786212735,0.459,1000,False,IID_adwin_s11
6,2966352841180254946,0.426,1000,False,IID_adwin_s11
6,4730118721009354814,0.464,1000,False,IID_adwin_s11
6,11017658410225379800,0.478,1000,False,IID_adwin_s11
6,526889655197255184,0.478,1000,False,IID_adwin_s11
6,6838481051918593359,0.449,1000,False,IID_adwin_s11
6,8543731720318720344,0.457,1000,False,IID_adwin_s11
6,996999572881125240,0.43,1000,False,IID_adwin_s11
7,6838481051918593359,0.462,1000,False,IID_adwin_s11
7,2966352841180254946,0.443,1000,False,IID_adwin_s11
7,5664985229475002910,0.457,1000,False,IID_adwin_s11
7,4024417183169647370,0.452,1000,False,IID_adwin_s11
7,8543731720318720344,0.473,1000,False,IID_adwin_s11
7,526889655197255184,0.502,1000,False,IID_adwin_s11
7,12752010034786212735,0.46,1000,False,IID_adwin_s11
