round,global_accuracy,num_clients,global_drift_flag,clients_with_drift,delta_t,delta_0,band_lo,band_hi,phase,label
1,0.1742,10,0,[],,,,,MONITOR,IID_adwin_s11
2,0.3004,10,0,[],,,,,MONITOR,IID_adwin_s11
3,0.348,10,0,[],,,,,MONITOR,IID_adwin_s11
4,0.3969,10,0,[],,,,,MONITOR,IID_adwin_s11
5,0.4288,10,0,[],,,,,MONITOR,IID_adwin_s11
6,0.451,10,0,[],,,,,MONITOR,IID_adwin_s11
7,0.4684,10,0,[],,,,,MONITOR,IID_adwin_s11
8,0.4766,10,0,[],,,,,MONITOR,IID_adwin_s11
9,0.4954,10,0,[],,,,,MONITOR,IID_adwin_s11
10,0.506,10,0,[],,,,,MONITOR,IID_adwin_s11
11,0.5173,10,0,[],,,,,MONITOR,IID_adwin_s11
12,0.5222,10,0,[],,,,,MONITOR,IID_adwin_s11
13,0.5338,10,0,[],,,,,MONITOR,IID_adwin_s11
14,0.5419,10,0,[],,,,,MONITOR,IID_adwin_s11
15,0.5475,10,0,[],,,,,MONITOR,IID_adwin_s11
16,0.561,10,0,[],,,,,MONITOR,IID_adwin_s11
17,0.5665,10,0,[],,,,,MONITOR,IID_adwin_s11
18,0.5696,10,0,[],,,,,MONITOR,IID_adwin_s11
19,0.5789,10,0,[],,,,,MONITOR,IID_adwin_s11
20,0.5847,10,0,[],,,,,MONITOR,IID_adwin_s11
21,0.588,10,0,[],,,,,MONITOR,IID_adwin_s11
22,0.5902,10,0,[],,,,,MONITOR,IID_adwin_s11
23,0.5942,10,0,[],,,,,MONITOR,IID_adwin_s11
24,0.5995,10,0,[],,,,,MONITOR,IID_adwin_s11
25,0.6005,10,0,[],,,,,MONITOR,IID_adwin_s11
