round,cid,accuracy,num_examples,drift,label
1,1079929258956337,0.219,1000,False,IID_entropy_adaptive_s11
1,15716424563507951199,0.217,1000,False,IID_entropy_adaptive_s11
1,11922945184607121012,0.233,1000,False,IID_entropy_adaptive_s11
1,9059162245263918356,0.207,1000,False,IID_entropy_adaptive_s11
1,7039761228958997261,0.235,1000,False,IID_entropy_adaptive_s11
1,202268301637238963,0.233,1000,False,IID_entropy_adaptive_s11
1,4196207126108036473,0.215,1000,False,IID_entropy_adaptive_s11
1,3709825419508398156,0.199,1000,False,IID_entropy_adaptive_s11
1,1871856709139394813,0.196,1000,False,IID_entropy_adaptive_s11
1,11000964662897049327,0.23,1000,False,IID_entropy_adaptive_s11
2,1079929258956337,0.288,1000,True,IID_entropy_adaptive_s11
2,11000964662897049327,0.318,1000,True,IID_entropy_adaptive_s11
2,15716424563507951199,0.303,1000,False,IID_entropy_adaptive_s11
2,9059162245263918356,0.285,1000,True,IID_entropy_adaptive_s11
2,202268301637238963,0.314,1000,True,IID_entropy_adaptive_s11
2,7039761228958997261,0.31,1000,False,IID_entropy_adaptive_s11
2,4196207126108036473,0.3,1000,True,IID_entropy_adaptive_s11
2,3709825419508398156,0.29,1000,False,IID_entropy_adaptive_s11
2,11922945184607121012,0.325,1000,False,IID_entropy_adaptive_s11
2,1871856709139394813,0.298,1000,False,IID_entropy_adaptive_s11
3,15716424563507951199,0.35,1000,True,IID_entropy_adaptive_s11
3,1871856709139394813,0.35,1000,False,IID_entropy_adaptive_s11
3,11000964662897049327,0.369,1000,False,IID_entropy_adaptive_s11
3,3709825419508398156,0.341,1000,False,IID_entropy_adaptive_s11
3,9059162245263918356,0.357,1000,False,IID_entropy_adaptive_s11
3,4196207126108036473,0.345,1000,False,IID_entropy_adaptive_s11
3,7039761228958997261,0.377,1000,True,IID_entropy_adaptive_s11
3,202268301637238963,0.401,1000,False,IID_entropy_adaptive_s11
3,11922945184607121012,0.372,1000,True,IID_entropy_adaptive_s11
3,1079929258956337,0.353,1000,False,IID_entropy_adaptive_s11
4,202268301637238963,0.42,1000,False,IID_entropy_adaptive_s11
4,7039761228958997261,0.427,1000,False,IID_entropy_adaptive_s11
4,1079929258956337,0.422,1000,False,IID_entropy_adaptive_s11
4,3709825419508398156,0.39,1000,False,IID_entropy_adaptive_s11
4,11000964662897049327,0.404,1000,False,IID_entropy_adaptive_s11
4,4196207126108036473,0.412,1000,False,IID_entropy_adaptive_s11
4,15716424563507951199,0.39,1000,False,IID_entropy_adaptive_s11
4,11922945184607121012,0.437,1000,False,IID_entropy_adaptive_s11
4,9059162245263918356,0.397,1000,False,IID_entropy_adaptive_s11
4,1871856709139394813,0.398,1000,False,IID_entropy_adaptive_s11
5,9059162245263918356,0.42,1000,False,IID_entropy_adaptive_s11
5,1871856709139394813,0.433,1000,False,IID_entropy_adaptive_s11
5,15716424563507951199,0.422,1000,False,IID_entropy_adaptive_s11
5,11922945184607121012,0.455,1000,False,IID_entropy_adaptive_s11
5,4196207126108036473,0.425,1000,False,IID_entropy_adaptive_s11
5,11000964662897049327,0.419,1000,False,IID_entropy_adaptive_s11
5,1079929258956337,0.444,1000,False,IID_entropy_adaptive_s11
5,7039761228958997261,0.446,1000,False,IID_entropy_adaptive_s11
5,202268301637238963,0.445,1000,False,IID_entropy_adaptive_s11
5,3709825419508398156,0.434,1000,False,IID_entropy_adaptive_s11
6,11922945184607121012,0.472,1000,True,IID_entropy_adaptive_s11
6,15716424563507951199,0.44,1000,False,IID_entropy_adaptive_s11
6,1871856709139394813,0.455,1000,False,IID_entropy_adaptive_s11
6,3709825419508398156,0.45,1000,False,IID_entropy_adaptive_s11
6,7039761228958997261,0.468,1000,False,IID_entropy_adaptive_s11
6,9059162245263918356,0.448,1000,False,IID_entropy_adaptive_s11
6,11000964662897049327,0.436,1000,False,IID_entropy_adaptive_s11
6,4196207126108036473,0.459,1000,False,IID_entropy_adaptive_s11
6,202268301637238963,0.469,1000,False,IID_entropy_adaptive_s11
6,1079929258956337,0.446,1000,False,IID_entropy_adaptive_s11
7,3709825419508398156,0.465,1000,False,IID_entropy_adaptive_s11
7,9059162245263918356,0.47,1000,False,IID_entropy_adaptive_s11
7,1871856709139394813,0.467,1000,False,IID_entropy_adaptive_s11
7,4196207126108036473,0.446,1000,False,IID_entropy_adaptive_s11
