round,cid,accuracy,num_examples,drift,label
1,14559717339933591792,0.229,1000,False,IID_kswin_s11
1,15774271865761098600,0.197,1000,False,IID_kswin_s11
1,18087488871267134334,0.2,1000,False,IID_kswin_s11
1,13071443362878116229,0.203,1000,False,IID_kswin_s11
1,8923788292043945357,0.207,1000,False,IID_kswin_s11
1,1592695948490300319,0.191,1000,False,IID_kswin_s11
1,9316809961449347732,0.197,1000,False,IID_kswin_s11
1,6929064904115875934,0.209,1000,False,IID_kswin_s11
1,3098959166442615920,0.221,1000,False,IID_kswin_s11
1,1194574762443141412,0.213,1000,False,IID_kswin_s11
2,14559717339933591792,0.334,1000,False,IID_kswin_s11
2,8923788292043945357,0.321,1000,False,IID_kswin_s11
2,6929064904115875934,0.327,1000,False,IID_kswin_s11
2,3098959166442615920,0.312,1000,False,IID_kswin_s11
2,18087488871267134334,0.288,1000,False,IID_kswin_s11
2,1194574762443141412,0.302,1000,False,IID_kswin_s11
2,15774271865761098600,0.285,1000,False,IID_kswin_s11
2,13071443362878116229,0.295,1000,False,IID_kswin_s11
2,1592695948490300319,0.295,1000,False,IID_kswin_s11
2,9316809961449347732,0.298,1000,False,IID_kswin_s11
3,13071443362878116229,0.344,1000,False,IID_kswin_s11
3,14559717339933591792,0.398,1000,False,IID_kswin_s11
3,8923788292043945357,0.35,1000,False,IID_kswin_s11
3,9316809961449347732,0.339,1000,False,IID_kswin_s11
3,1194574762443141412,0.334,1000,False,IID_kswin_s11
3,3098959166442615920,0.379,1000,False,IID_kswin_s11
3,15774271865761098600,0.341,1000,False,IID_kswin_s11
3,6929064904115875934,0.368,1000,False,IID_kswin_s11
3,18087488871267134334,0.356,1000,False,IID_kswin_s11
3,1592695948490300319,0.333,1000,False,IID_kswin_s11
4,18087488871267134334,0.396,1000,False,IID_kswin_s11
4,15774271865761098600,0.382,1000,False,IID_kswin_s11
4,8923788292043945357,0.383,1000,False,IID_kswin_s11
4,13071443362878116229,0.392,1000,False,IID_kswin_s11
4,1592695948490300319,0.376,1000,False,IID_kswin_s11
4,9316809961449347732,0.379,1000,False,IID_kswin_s11
4,6929064904115875934,0.407,1000,False,IID_kswin_s11
4,14559717339933591792,0.428,1000,False,IID_kswin_s11
4,1194574762443141412,0.37,1000,False,IID_kswin_s11
4,3098959166442615920,0.413,1000,False,IID_kswin_s11
5,6929064904115875934,0.436,1000,False,IID_kswin_s11
5,8923788292043945357,0.415,1000,False,IID_kswin_s11
5,15774271865761098600,0.417,1000,False,IID_kswin_s11
5,13071443362878116229,0.423,1000,False,IID_kswin_s11
5,1592695948490300319,0.412,1000,False,IID_kswin_s11
5,14559717339933591792,0.449,1000,False,IID_kswin_s11
5,18087488871267134334,0.439,1000,False,IID_kswin_s11
5,3098959166442615920,0.446,1000,False,IID_kswin_s11
5,9316809961449347732,0.413,1000,False,IID_kswin_s11
5,1194574762443141412,0.403,1000,False,IID_kswin_s11
6,18087488871267134334,0.455,1000,False,IID_kswin_s11
6,6929064904115875934,0.459,1000,False,IID_kswin_s11
6,13071443362878116229,0.433,1000,False,IID_kswin_s11
6,9316809961449347732,0.434,1000,False,IID_kswin_s11
6,1592695948490300319,0.423,1000,False,IID_kswin_s11
6,8923788292043945357,0.433,1000,False,IID_kswin_s11
6,3098959166442615920,0.445,1000,False,IID_kswin_s11
6,1194574762443141412,0.422,1000,False,IID_kswin_s11
6,15774271865761098600,0.423,1000,False,IID_kswin_s11
6,14559717339933591792,0.467,1000,False,IID_kswin_s11
7,15774271865761098600,0.443,1000,False,IID_kswin_s11
7,6929064904115875934,0.477,1000,False,IID_kswin_s11
7,1194574762443141412,0.437,1000,False,IID_kswin_s11
7,1592695948490300319,0.446,1000,False,IID_kswin_s11
7,3098959166442615920,0.469,1000,False,IID_kswin_s11
7,8923788292043945357,0.45,1000,False,IID_kswin_s11
7,13071443362878116229,0.443,1000,False,IID_kswin_s11
7,9316809961449347732,0.445,1000,False,IID_kswin_s11
7,18087488871267134334,0.467,1000,False,IID_kswin_s11
7,14559717339933591792,0.479,1000,False,IID_kswin_s11
8,1592695948490300319,0.462,1000,False,IID_kswin_s11
8,8923788292043945357,0.455,1000,False,IID_kswin_s11
8,18087488871267134334,0.47,1000,False,IID_kswin_s11
8,1194574762443141412,0.469,1000,False,IID_kswin_s11
8,3098959166442615920,0.483,1000,False,IID_kswin_s11
8,13071443362878116229,0.474,1000,False,IID_kswin_s11
8,15774271865761098600,0.456,1000,False,IID_kswin_s11
8,6929064904115875934,0.483,1000,False,IID_kswin_s11
8,14559717339933591792,0.51,1000,False,IID_kswin_s11
8,9316809961449347732,0.44,1000,False,IID_kswin_s11
9,9316809961449347732,0.465,1000,False,IID_kswin_s11
9,1592695948490300319,0.479,1000,False,IID_kswin_s11
9,18087488871267134334,0.472,1000,False,IID_kswin_s11
9,1194574762443141412,0.49,1000,False,IID_kswin_s11
9,8923788292043945357,0.478,1000,False,IID_kswin_s11
9,14559717339933591792,0.511,1000,False,IID_kswin_s11
9,15774271865761098600,0.484,1000,False,IID_kswin_s11
9,6929064904115875934,0.516,1000,False,IID_kswin_s11
9,13071443362878116229,0.478,1000,False,IID_kswin_s11
9,3098959166442615920,0.51,1000,False,IID_kswin_s11
10,1592695948490300319,0.499,1000,False,IID_kswin_s11
10,8923788292043945357,0.502,1000,False,IID_kswin_s11
10,9316809961449347732,0.48,1000,False,IID_kswin_s11
10,18087488871267134334,0.481,1000,False,IID_kswin_s11
10,6929064904115875934,0.528,1000,False,IID_kswin_s11
10,15774271865761098600,0.486,1000,False,IID_kswin_s11
10,13071443362878116229,0.483,1000,False,IID_kswin_s11
10,3098959166442615920,0.502,1000,False,IID_kswin_s11
10,1194574762443141412,0.488,1000,False,IID_kswin_s11
10,14559717339933591792,0.521,1000,False,IID_kswin_s11
11,1194574762443141412,0.519,1000,False,IID_kswin_s11
11,14559717339933591792,0.532,1000,False,IID_kswin_s11
11,6929064904115875934,0.542,1000,False,IID_kswin_s11
11,13071443362878116229,0.486,1000,False,IID_kswin_s11
11,8923788292043945357,0.505,1000,False,IID_kswin_s11
11,9316809961449347732,0.493,1000,False,IID_kswin_s11
11,3098959166442615920,0.515,1000,False,IID_kswin_s11
11,18087488871267134334,0.49,1000,False,IID_kswin_s11
11,15774271865761098600,0.487,1000,False,IID_kswin_s11
11,1592695948490300319,0.485,1000,False,IID_kswin_s11
12,9316809961449347732,0.497,1000,False,IID_kswin_s11
12,18087488871267134334,0.507,1000,False,IID_kswin_s11
12,1194574762443141412,0.522,1000,False,IID_kswin_s11
12,13071443362878116229,0.483,1000,False,IID_kswin_s11
12,14559717339933591792,0.55,1000,False,IID_kswin_s11
12,6929064904115875934,0.56,1000,False,IID_kswin_s11
12,3098959166442615920,0.545,1000,False,IID_kswin_s11
12,1592695948490300319,0.511,1000,False,IID_kswin_s11
12,15774271865761098600,0.504,1000,False,IID_kswin_s11
12,8923788292043945357,0.512,1000,False,IID_kswin_s11
13,18087488871267134334,0.51,1000,False,IID_kswin_s11
13,3098959166442615920,0.554,1000,False,IID_kswin_s11
13,6929064904115875934,0.539,1000,False,IID_kswin_s11
13,15774271865761098600,0.539,1000,False,IID_kswin_s11
13,13071443362878116229,0.501,1000,False,IID_kswin_s11
13,9316809961449347732,0.523,1000,False,IID_kswin_s11
13,8923788292043945357,0.521,1000,False,IID_kswin_s11
13,1592695948490300319,0.529,1000,False,IID_kswin_s11
13,1194574762443141412,0.535,1000,False,IID_kswin_s11
13,14559717339933591792,0.542,1000,False,IID_kswin_s11
14,1592695948490300319,0.549,1000,False,IID_kswin_s11
14,13071443362878116229,0.513,1000,False,IID_kswin_s11
14,9316809961449347732,0.515,1000,False,IID_kswin_s11
14,15774271865761098600,0.539,1000,False,IID_kswin_s11
14,6929064904115875934,0.558,1000,False,IID_kswin_s11
14,14559717339933591792,0.56,1000,False,IID_kswin_s11
14,18087488871267134334,0.52,1000,False,IID_kswin_s11
14,8923788292043945357,0.539,1000,False,IID_kswin_s11
14,1194574762443141412,0.544,1000,False,IID_kswin_s11
14,3098959166442615920,0.566,1000,False,IID_kswin_s11
15,8923788292043945357,0.545,1000,False,IID_kswin_s11
15,15774271865761098600,0.557,1000,False,IID_kswin_s11
15,3098959166442615920,0.576,1000,False,IID_kswin_s11
15,9316809961449347732,0.527,1000,False,IID_kswin_s11
15,14559717339933591792,0.571,1000,False,IID_kswin_s11
15,6929064904115875934,0.577,1000,False,IID_kswin_s11
15,18087488871267134334,0.539,1000,False,IID_kswin_s11
15,1194574762443141412,0.56,1000,False,IID_kswin_s11
15,13071443362878116229,0.518,1000,False,IID_kswin_s11
15,1592695948490300319,0.553,1000,False,IID_kswin_s11
16,6929064904115875934,0.578,1000,False,IID_kswin_s11
16,1592695948490300319,0.555,1000,False,IID_kswin_s11
16,8923788292043945357,0.553,1000,False,IID_kswin_s11
16,18087488871267134334,0.533,1000,False,IID_kswin_s11
16,15774271865761098600,0.546,1000,False,IID_kswin_s11
16,14559717339933591792,0.564,1000,False,IID_kswin_s11
16,9316809961449347732,0.525,1000,False,IID_kswin_s11
16,13071443362878116229,0.527,1000,False,IID_kswin_s11
16,3098959166442615920,0.584,1000,False,IID_kswin_s11
16,1194574762443141412,0.559,1000,False,IID_kswin_s11
17,3098959166442615920,0.587,1000,False,IID_kswin_s11
17,14559717339933591792,0.578,1000,False,IID_kswin_s11
17,9316809961449347732,0.553,1000,False,IID_kswin_s11
17,6929064904115875934,0.589,1000,False,IID_kswin_s11
17,1592695948490300319,0.576,1000,False,IID_kswin_s11
17,1194574762443141412,0.562,1000,False,IID_kswin_s11
17,18087488871267134334,0.543,1000,False,IID_kswin_s11
17,15774271865761098600,0.572,1000,False,IID_kswin_s11
17,13071443362878116229,0.537,1000,False,IID_kswin_s11
17,8923788292043945357,0.556,1000,False,IID_kswin_s11
18,1194574762443141412,0.563,1000,False,IID_kswin_s11
18,9316809961449347732,0.558,1000,False,IID_kswin_s11
18,8923788292043945357,0.573,1000,False,IID_kswin_s11
18,6929064904115875934,0.586,1000,False,IID_kswin_s11
18,1592695948490300319,0.572,1000,False,IID_kswin_s11
18,3098959166442615920,0.596,1000,False,IID_kswin_s11
18,15774271865761098600,0.58,1000,False,IID_kswin_s11
18,18087488871267134334,0.557,1000,False,IID_kswin_s11
18,14559717339933591792,0.574,1000,False,IID_kswin_s11
18,13071443362878116229,0.538,1000,False,IID_kswin_s11
19,13071443362878116229,0.558,1000,False,IID_kswin_s11
19,18087488871267134334,0.551,1000,False,IID_kswin_s11
19,6929064904115875934,0.597,1000,False,IID_kswin_s11
19,15774271865761098600,0.578,1000,False,IID_kswin_s11
19,9316809961449347732,0.559,1000,False,IID_kswin_s11
19,1592695948490300319,0.583,1000,False,IID_kswin_s11
19,14559717339933591792,0.589,1000,False,IID_kswin_s11
19,1194574762443141412,0.576,1000,False,IID_kswin_s11
19,3098959166442615920,0.618,1000,False,IID_kswin_s11
19,8923788292043945357,0.573,1000,False,IID_kswin_s11
20,14559717339933591792,0.584,1000,False,IID_kswin_s11
20,15774271865761098600,0.585,1000,False,IID_kswin_s11
20,1194574762443141412,0.572,1000,False,IID_kswin_s11
20,3098959166442615920,0.602,1000,False,IID_kswin_s11
20,13071443362878116229,0.554,1000,False,IID_kswin_s11
20,9316809961449347732,0.568,1000,False,IID_kswin_s11
20,1592695948490300319,0.6,1000,False,IID_kswin_s11
20,8923788292043945357,0.564,1000,False,IID_kswin_s11
20,6929064904115875934,0.605,1000,False,IID_kswin_s11
20,18087488871267134334,0.565,1000,False,IID_kswin_s11
21,9316809961449347732,0.556,1000,False,IID_kswin_s11
21,18087488871267134334,0.559,1000,False,IID_kswin_s11
21,6929064904115875934,0.601,1000,False,IID_kswin_s11
21,14559717339933591792,0.579,1000,False,IID_kswin_s11
21,3098959166442615920,0.612,1000,False,IID_kswin_s11
21,13071443362878116229,0.559,1000,False,IID_kswin_s11
