round,global_accuracy,num_clients,global_drift_flag,clients_with_drift,delta_t,delta_0,band_lo,band_hi,phase,label
1,0.2067,10,0,[],,,,,MONITOR,IID_kswin_s11
2,0.3057,10,0,[],,,,,MONITOR,IID_kswin_s11
3,0.3542,10,0,[],,,,,MONITOR,IID_kswin_s11
4,0.3926,10,0,[],,,,,MONITOR,IID_kswin_s11
5,0.4253,10,0,[],,,,,MONITOR,IID_kswin_s11
6,0.4394,10,0,[],,,,,MONITOR,IID_kswin_s11
7,0.4556,10,0,[],,,,,MONITOR,IID_kswin_s11
8,0.4702,10,0,[],,,,,MONITOR,IID_kswin_s11
9,0.4883,10,0,[],,,,,MONITOR,IID_kswin_s11
10,0.497,10,0,[],,,,,MONITOR,IID_kswin_s11
11,0.5054,10,0,[],,,,,MONITOR,IID_kswin_s11
12,0.5191,10,0,[],,,,,MONITOR,IID_kswin_s11
13,0.5293,10,0,[],,,,,MONITOR,IID_kswin_s11
14,0.5403,10,0,[],,,,,MONITOR,IID_kswin_s11
15,0.5523,10,0,[],,,,,MONITOR,IID_kswin_s11
16,0.5524,10,0,[],,,,,MONITOR,IID_kswin_s11
17,0.5653,10,0,[],,,,,MONITOR,IID_kswin_s11
18,0.5697,10,0,[],,,,,MONITOR,IID_kswin_s11
19,0.5782,10,0,[],,,,,MONITOR,IID_kswin_s11
20,0.5799,10,0,[],,,,,MONITOR,IID_kswin_s11
21,0.5781,10,0,[],,,,,MONITOR,IID_kswin_s11
22,0.5839,10,0,[],,,,,MONITOR,IID_kswin_s11
23,0.5921,10,0,[],,,,,MONITOR,IID_kswin_s11
24,0.5942,10,0,[],,,,,MONITOR,IID_kswin_s11
25,0.5951,10,0,[],,,,,MONITOR,IID_kswin_s11
