round,cid,accuracy,num_examples,drift,label
1,13904960284750635512,0.212,1000,False,IID_wilbik_nodrift_s11
1,9826000004034544819,0.244,1000,False,IID_wilbik_nodrift_s11
1,8443530161700803003,0.21,1000,False,IID_wilbik_nodrift_s11
1,4050585921425347928,0.231,1000,False,IID_wilbik_nodrift_s11
1,11564779228511618763,0.225,1000,False,IID_wilbik_nodrift_s11
1,17255203397243778176,0.238,1000,False,IID_wilbik_nodrift_s11
1,3047671742871068375,0.228,1000,False,IID_wilbik_nodrift_s11
1,8356708012501856106,0.213,1000,False,IID_wilbik_nodrift_s11
1,4673638631272461624,0.226,1000,False,IID_wilbik_nodrift_s11
1,587889236315225906,0.23,1000,False,IID_wilbik_nodrift_s11
2,587889236315225906,0.294,1000,False,IID_wilbik_nodrift_s11
2,4673638631272461624,0.299,1000,False,IID_wilbik_nodrift_s11
2,11564779228511618763,0.286,1000,False,IID_wilbik_nodrift_s11
2,4050585921425347928,0.267,1000,False,IID_wilbik_nodrift_s11
2,3047671742871068375,0.285,1000,False,IID_wilbik_nodrift_s11
2,17255203397243778176,0.317,1000,False,IID_wilbik_nodrift_s11
2,8356708012501856106,0.257,1000,False,IID_wilbik_nodrift_s11
2,8443530161700803003,0.25,1000,False,IID_wilbik_nodrift_s11
2,13904960284750635512,0.278,1000,False,IID_wilbik_nodrift_s11
2,9826000004034544819,0.312,1000,False,IID_wilbik_nodrift_s11
3,8356708012501856106,0.329,1000,False,IID_wilbik_nodrift_s11
3,13904960284750635512,0.311,1000,False,IID_wilbik_nodrift_s11
3,4673638631272461624,0.348,1000,False,IID_wilbik_nodrift_s11
3,4050585921425347928,0.323,1000,False,IID_wilbik_nodrift_s11
3,17255203397243778176,0.393,1000,False,IID_wilbik_nodrift_s11
3,11564779228511618763,0.323,1000,False,IID_wilbik_nodrift_s11
3,587889236315225906,0.364,1000,False,IID_wilbik_nodrift_s11
3,9826000004034544819,0.366,1000,False,IID_wilbik_nodrift_s11
3,3047671742871068375,0.322,1000,False,IID_wilbik_nodrift_s11
3,8443530161700803003,0.345,1000,False,IID_wilbik_nodrift_s11
4,587889236315225906,0.423,1000,False,IID_wilbik_nodrift_s11
4,4050585921425347928,0.391,1000,False,IID_wilbik_nodrift_s11
4,17255203397243778176,0.428,1000,False,IID_wilbik_nodrift_s11
4,3047671742871068375,0.383,1000,False,IID_wilbik_nodrift_s11
4,11564779228511618763,0.371,1000,False,IID_wilbik_nodrift_s11
4,8356708012501856106,0.399,1000,False,IID_wilbik_nodrift_s11
4,4673638631272461624,0.389,1000,False,IID_wilbik_nodrift_s11
4,13904960284750635512,0.382,1000,False,IID_wilbik_nodrift_s11
4,9826000004034544819,0.436,1000,False,IID_wilbik_nodrift_s11
4,8443530161700803003,0.386,1000,False,IID_wilbik_nodrift_s11
5,8356708012501856106,0.412,1000,False,IID_wilbik_nodrift_s11
5,3047671742871068375,0.397,1000,False,IID_wilbik_nodrift_s11
5,17255203397243778176,0.452,1000,False,IID_wilbik_nodrift_s11
5,9826000004034544819,0.433,1000,False,IID_wilbik_nodrift_s11
5,13904960284750635512,0.404,1000,False,IID_wilbik_nodrift_s11
5,4673638631272461624,0.415,1000,False,IID_wilbik_nodrift_s11
5,8443530161700803003,0.42,1000,False,IID_wilbik_nodrift_s11
5,587889236315225906,0.433,1000,False,IID_wilbik_nodrift_s11
5,4050585921425347928,0.401,1000,False,IID_wilbik_nodrift_s11
5,11564779228511618763,0.387,1000,False,IID_wilbik_nodrift_s11
6,8356708012501856106,0.442,1000,False,IID_wilbik_nodrift_s11
6,17255203397243778176,0.452,1000,False,IID_wilbik_nodrift_s11
6,587889236315225906,0.45,1000,False,IID_wilbik_nodrift_s11
6,8443530161700803003,0.434,1000,False,IID_wilbik_nodrift_s11
6,4673638631272461624,0.425,1000,False,IID_wilbik_nodrift_s11
6,9826000004034544819,0.463,1000,False,IID_wilbik_nodrift_s11
6,13904960284750635512,0.442,1000,False,IID_wilbik_nodrift_s11
6,4050585921425347928,0.433,1000,False,IID_wilbik_nodrift_s11
6,11564779228511618763,0.426,1000,False,IID_wilbik_nodrift_s11
6,3047671742871068375,0.434,1000,False,IID_wilbik_nodrift_s11
7,9826000004034544819,0.482,1000,False,IID_wilbik_nodrift_s11
7,4673638631272461624,0.445,1000,False,IID_wilbik_nodrift_s11
7,8443530161700803003,0.464,1000,False,IID_wilbik_nodrift_s11
