round,global_accuracy,num_clients,global_drift_flag,clients_with_drift,delta_t,delta_0,band_lo,band_hi,phase,label
1,0.2257,10,0,[],,,,,INIT,IID_wilbik_nodrift_s11
2,0.2845,10,0,[],,,,,INIT,IID_wilbik_nodrift_s11
3,0.3424,10,0,[],,,,,INIT,IID_wilbik_nodrift_s11
4,0.3988,10,0,[],,,,,INIT,IID_wilbik_nodrift_s11
5,0.4154,10,0,[],,,,,INIT,IID_wilbik_nodrift_s11
6,0.4401,10,0,[],,,,,INIT,IID_wilbik_nodrift_s11
7,0.4641,10,0,[],,,,,INIT,IID_wilbik_nodrift_s11
8,0.47,10,0,[],,,,,INIT,IID_wilbik_nodrift_s11
9,0.4916,10,0,[],,,,,INIT,IID_wilbik_nodrift_s11
10,0.504,10,0,[],,,,,INIT,IID_wilbik_nodrift_s11
11,0.5126,10,0,[],,,,,INIT,IID_wilbik_nodrift_s11
12,0.5231,10,0,[],,,,,INIT,IID_wilbik_nodrift_s11
13,0.5381,10,0,[],,,,,INIT,IID_wilbik_nodrift_s11
14,0.5406,10,0,[],,,,,INIT,IID_wilbik_nodrift_s11
15,0.5481,10,0,[],,,,,INIT,IID_wilbik_nodrift_s11
16,0.5562,10,0,[],,470.59505811838534,376.47604649470827,564.7140697420624,INIT,IID_wilbik_nodrift_s11
17,0.5643,10,0,[],490.1557424090635,470.59505811838534,376.47604649470827,564.7140697420624,MONITOR,IID_wilbik_nodrift_s11
18,0.5678,10,0,[],519.3571178549361,470.59505811838534,376.47604649470827,564.7140697420624,MONITOR,IID_wilbik_nodrift_s11
19,0.576,10,0,[],472.2594838535062,470.59505811838534,376.47604649470827,564.7140697420624,MONITOR,IID_wilbik_nodrift_s11
20,0.5848,10,0,[],512.0742177994534,470.59505811838534,376.47604649470827,564.7140697420624,MONITOR,IID_wilbik_nodrift_s11
21,0.585,10,0,[],530.3354364233754,470.59505811838534,376.47604649470827,564.7140697420624,MONITOR,IID_wilbik_nodrift_s11
22,0.5863,10,0,[],522.7256498350446,470.59505811838534,376.47604649470827,564.7140697420624,MONITOR,IID_wilbik_nodrift_s11
23,0.5895,10,1,[],575.7054405207429,470.59505811838534,376.47604649470827,564.7140697420624,MONITOR,IID_wilbik_nodrift_s11
24,0.5959,10,0,[],556.4225425282431,470.59505811838534,376.47604649470827,564.7140697420624,MONITOR,IID_wilbik_nodrift_s11
25,0.5971,10,0,[],555.8470544420258,470.59505811838534,376.47604649470827,564.7140697420624,MONITOR,IID_wilbik_nodrift_s11
