round,cid,accuracy,num_examples,drift,label
1,11463187108829692225,0.216,1000,False,IID_wilbik_s33
1,1000114391882860272,0.21,1000,False,IID_wilbik_s33
1,12865556788251799451,0.215,1000,False,IID_wilbik_s33
1,10158572896884032097,0.213,1000,False,IID_wilbik_s33
1,5282138786787104971,0.236,1000,False,IID_wilbik_s33
1,9954977083556623123,0.196,1000,False,IID_wilbik_s33
1,5898467087308941160,0.221,1000,False,IID_wilbik_s33
1,4306802642047002563,0.196,1000,False,IID_wilbik_s33
1,7129217952096144239,0.202,1000,False,IID_wilbik_s33
1,3267243847329581640,0.221,1000,False,IID_wilbik_s33
2,7129217952096144239,0.283,1000,False,IID_wilbik_s33
2,9954977083556623123,0.268,1000,False,IID_wilbik_s33
2,10158572896884032097,0.264,1000,False,IID_wilbik_s33
2,3267243847329581640,0.261,1000,False,IID_wilbik_s33
2,12865556788251799451,0.275,1000,False,IID_wilbik_s33
2,1000114391882860272,0.268,1000,False,IID_wilbik_s33
2,11463187108829692225,0.286,1000,False,IID_wilbik_s33
2,4306802642047002563,0.276,1000,False,IID_wilbik_s33
2,5282138786787104971,0.286,1000,False,IID_wilbik_s33
2,5898467087308941160,0.282,1000,False,IID_wilbik_s33
3,12865556788251799451,0.328,1000,False,IID_wilbik_s33
3,5282138786787104971,0.374,1000,False,IID_wilbik_s33
3,7129217952096144239,0.335,1000,False,IID_wilbik_s33
3,3267243847329581640,0.352,1000,False,IID_wilbik_s33
3,5898467087308941160,0.361,1000,False,IID_wilbik_s33
3,10158572896884032097,0.345,1000,False,IID_wilbik_s33
3,1000114391882860272,0.344,1000,False,IID_wilbik_s33
3,9954977083556623123,0.348,1000,False,IID_wilbik_s33
3,4306802642047002563,0.328,1000,False,IID_wilbik_s33
3,11463187108829692225,0.382,1000,False,IID_wilbik_s33
4,4306802642047002563,0.382,1000,False,IID_wilbik_s33
4,5282138786787104971,0.44,1000,False,IID_wilbik_s33
4,10158572896884032097,0.387,1000,False,IID_wilbik_s33
4,5898467087308941160,0.404,1000,False,IID_wilbik_s33
4,12865556788251799451,0.391,1000,False,IID_wilbik_s33
4,1000114391882860272,0.376,1000,False,IID_wilbik_s33
4,3267243847329581640,0.403,1000,False,IID_wilbik_s33
4,9954977083556623123,0.382,1000,False,IID_wilbik_s33
4,11463187108829692225,0.422,1000,False,IID_wilbik_s33
4,7129217952096144239,0.396,1000,False,IID_wilbik_s33
5,3267243847329581640,0.428,1000,False,IID_wilbik_s33
5,4306802642047002563,0.421,1000,False,IID_wilbik_s33
