round,global_accuracy,num_clients,global_drift_flag,clients_with_drift,delta_t,delta_0,band_lo,band_hi,phase,label
1,0.2126,10,0,[],,,,,INIT,IID_wilbik_s33
2,0.2749,10,0,[],,,,,INIT,IID_wilbik_s33
3,0.3497,10,0,[],,,,,INIT,IID_wilbik_s33
4,0.3983,10,0,[],,3.3093797522728448,2.647503801818276,3.9712557027274134,INIT,IID_wilbik_s33
5,0.4329,10,0,[],3.7480051227380247,3.3093797522728448,2.647503801818276,3.9712557027274134,MONITOR,IID_wilbik_s33
6,0.4562,10,1,[],4.115559673669689,3.3093797522728448,2.647503801818276,3.9712557027274134,MONITOR,IID_wilbik_s33
7,0.4723,10,1,[],4.273462265713857,3.3093797522728448,2.647503801818276,3.9712557027274134,MONITOR,IID_wilbik_s33
8,0.4908,10,1,[],4.617013120040614,3.3093797522728448,2.647503801818276,3.9712557027274134,MONITOR,IID_wilbik_s33
9,0.5054,10,1,[],4.696908580572658,3.3093797522728448,2.647503801818276,3.9712557027274134,MONITOR,IID_wilbik_s33
10,0.5211,10,1,[],5.216931568917315,3.3093797522728448,2.647503801818276,3.9712557027274134,MONITOR,IID_wilbik_s33
11,0.527,10,1,[],5.3522497232764605,3.3093797522728448,2.647503801818276,3.9712557027274134,MONITOR,IID_wilbik_s33
12,0.5391,10,1,[],5.860338421340901,3.3093797522728448,2.647503801818276,3.9712557027274134,MONITOR,IID_wilbik_s33
13,0.5486,10,1,[],5.816009677746493,3.3093797522728448,2.647503801818276,3.9712557027274134,MONITOR,IID_wilbik_s33
14,0.5593,10,1,[],5.820524457582614,3.3093797522728448,2.647503801818276,3.9712557027274134,MONITOR,IID_wilbik_s33
15,0.5658,10,1,[],6.300671475251343,3.3093797522728448,2.647503801818276,3.9712557027274134,MONITOR,IID_wilbik_s33
16,0.5771,10,1,[],6.19826736025366,3.3093797522728448,2.647503801818276,3.9712557027274134,MONITOR,IID_wilbik_s33
17,0.5788,10,1,[],6.5844928905837925,3.3093797522728448,2.647503801818276,3.9712557027274134,MONITOR,IID_wilbik_s33
18,0.5868,10,1,[],6.5303788022880385,3.3093797522728448,2.647503801818276,3.9712557027274134,MONITOR,IID_wilbik_s33
19,0.5839,10,1,[],6.969546811577124,3.3093797522728448,2.647503801818276,3.9712557027274134,MONITOR,IID_wilbik_s33
20,0.5926,10,1,[],6.982707912362993,3.3093797522728448,2.647503801818276,3.9712557027274134,MONITOR,IID_wilbik_s33
21,0.5954,10,1,[],7.144736956973567,3.3093797522728448,2.647503801818276,3.9712557027274134,MONITOR,IID_wilbik_s33
22,0.5945,10,1,[],7.125152788311817,3.3093797522728448,2.647503801818276,3.9712557027274134,MONITOR,IID_wilbik_s33
23,0.6008,10,1,[],7.430719574599468,3.3093797522728448,2.647503801818276,3.9712557027274134,MONITOR,IID_wilbik_s33
24,0.6024,10,1,[],7.424844092381388,3.3093797522728448,2.647503801818276,3.9712557027274134,MONITOR,IID_wilbik_s33
25,0.6095,10,1,[],7.558076913484435,3.3093797522728448,2.647503801818276,3.9712557027274134,MONITOR,IID_wilbik_s33
