round,global_accuracy,num_clients,global_drift_flag,clients_with_drift,delta_t,delta_0,band_lo,band_hi,phase,label
1,0.14042978510744628,10,0,[],,,,,MONITOR,nonIID_adwin_s11
2,0.20569715142428785,10,0,[],,,,,MONITOR,nonIID_adwin_s11
3,0.27586206896551724,10,0,[],,,,,MONITOR,nonIID_adwin_s11
4,0.3329335332333833,10,0,[],,,,,MONITOR,nonIID_adwin_s11
5,0.35992003998001,10,0,[],,,,,MONITOR,nonIID_adwin_s11
6,0.3793103448275862,10,0,[],,,,,MONITOR,nonIID_adwin_s11
7,0.4142928535732134,10,0,[],,,,,MONITOR,nonIID_adwin_s11
8,0.4337831084457771,10,0,[],,,,,MONITOR,nonIID_adwin_s11
9,0.44337831084457774,10,0,[],,,,,MONITOR,nonIID_adwin_s11
10,0.45177411294352826,10,0,[],,,,,MONITOR,nonIID_adwin_s11
11,0.46316841579210394,10,0,[],,,,,MONITOR,nonIID_adwin_s11
12,0.47806096951524235,10,0,[],,,,,MONITOR,nonIID_adwin_s11
13,0.488055972013993,10,0,[],,,,,MONITOR,nonIID_adwin_s11
14,0.4769615192403798,10,0,[],,,,,MONITOR,nonIID_adwin_s11
15,0.4834582708645677,10,0,[],,,,,MONITOR,nonIID_adwin_s11
16,0.5031484257871065,10,0,[],,,,,MONITOR,nonIID_adwin_s11
17,0.5028485757121439,10,0,[],,,,,MONITOR,nonIID_adwin_s11
18,0.5207396301849075,10,0,[],,,,,MONITOR,nonIID_adwin_s11
19,0.5083458270864568,10,0,[],,,,,MONITOR,nonIID_adwin_s11
20,0.5344327836081959,10,0,[],,,,,MONITOR,nonIID_adwin_s11
21,0.5230384807596202,10,0,[],,,,,MONITOR,nonIID_adwin_s11
22,0.5407296351824088,10,0,[],,,,,MONITOR,nonIID_adwin_s11
23,0.534632683658171,10,0,[],,,,,MONITOR,nonIID_adwin_s11
24,0.535432283858071,10,0,[],,,,,MONITOR,nonIID_adwin_s11
25,0.542928535732134,10,0,[],,,,,MONITOR,nonIID_adwin_s11
