cid,mean_accuracy,rounds,total_examples
2647032047192819809,0.5067357512953368,5,2895
161855061478417506,0.34785276073619625,5,6520
47234699357613519,0.31562897077509533,5,7870
1531705594647400805,0.280637049455155,5,5965
2956663079595471255,0.27319952774498224,5,4235
14069444488411111189,0.24723514211886305,5,9675
10183149526680275880,0.21480206540447497,5,5810
7657427263578960760,0.18642297650130546,5,1915
11655158762471688324,0.1268897149938042,5,4035
4631182051034208186,0.0606334841628959,5,1105
