round,cid,accuracy,num_examples,drift,label
1,15145902462405666292,0.16848281642917015,1193,False,nonIID_entropy_adaptive_s11
1,13258391312828985483,0.36787564766839376,579,True,nonIID_entropy_adaptive_s11
1,1568732763862198696,0.10443864229765012,383,True,nonIID_entropy_adaptive_s11
1,7608528825893980921,0.15820543093270367,847,False,nonIID_entropy_adaptive_s11
1,1757471952938103819,0.03167420814479638,221,False,nonIID_entropy_adaptive_s11
1,5198971392513722546,0.09560723514211886,1935,False,nonIID_entropy_adaptive_s11
1,7335521779774623414,0.1342512908777969,1162,False,nonIID_entropy_adaptive_s11
1,12536578965729889850,0.20330368487928843,1574,False,nonIID_entropy_adaptive_s11
1,4138215720529872781,0.10037174721189591,807,True,nonIID_entropy_adaptive_s11
1,630948885915182596,0.2860429447852761,1304,False,nonIID_entropy_adaptive_s11
2,15145902462405666292,0.28667225481978204,1193,False,nonIID_entropy_adaptive_s11
2,12536578965729889850,0.2630241423125794,1574,False,nonIID_entropy_adaptive_s11
2,5198971392513722546,0.12609819121447027,1935,False,nonIID_entropy_adaptive_s11
2,7608528825893980921,0.17473435655253838,847,True,nonIID_entropy_adaptive_s11
2,1568732763862198696,0.10443864229765012,383,True,nonIID_entropy_adaptive_s11
2,4138215720529872781,0.14250309789343246,807,True,nonIID_entropy_adaptive_s11
2,13258391312828985483,0.3799654576856649,579,True,nonIID_entropy_adaptive_s11
2,630948885915182596,0.2875766871165644,1304,False,nonIID_entropy_adaptive_s11
2,7335521779774623414,0.12822719449225473,1162,False,nonIID_entropy_adaptive_s11
2,1757471952938103819,0.058823529411764705,221,True,nonIID_entropy_adaptive_s11
3,12536578965729889850,0.3297331639135959,1574,False,nonIID_entropy_adaptive_s11
3,7608528825893980921,0.26564344746162927,847,False,nonIID_entropy_adaptive_s11
3,1568732763862198696,0.24804177545691905,383,True,nonIID_entropy_adaptive_s11
3,4138215720529872781,0.1251548946716233,807,True,nonIID_entropy_adaptive_s11
3,13258391312828985483,0.5008635578583766,579,False,nonIID_entropy_adaptive_s11
3,15145902462405666292,0.2732606873428332,1193,False,nonIID_entropy_adaptive_s11
3,1757471952938103819,0.03167420814479638,221,True,nonIID_entropy_adaptive_s11
3,5198971392513722546,0.18656330749354005,1935,False,nonIID_entropy_adaptive_s11
3,630948885915182596,0.330521472392638,1304,False,nonIID_entropy_adaptive_s11
3,7335521779774623414,0.2512908777969019,1162,False,nonIID_entropy_adaptive_s11
4,15145902462405666292,0.34283319362950543,1193,False,nonIID_entropy_adaptive_s11
4,12536578965729889850,0.35387547649301143,1574,False,nonIID_entropy_adaptive_s11
4,630948885915182596,0.38650306748466257,1304,False,nonIID_entropy_adaptive_s11
