round,global_accuracy,num_clients,global_drift_flag,clients_with_drift,delta_t,delta_0,band_lo,band_hi,phase,label
1,0.17091454272863568,10,0,"[""13258391312828985483"", ""1568732763862198696"", ""4138215720529872781""]",,,,,MONITOR,nonIID_entropy_adaptive_s11
2,0.20589705147426288,10,0,"[""13258391312828985483"", ""1568732763862198696"", ""1757471952938103819"", ""4138215720529872781"", ""7608528825893980921""]",,,,,MONITOR,nonIID_entropy_adaptive_s11
3,0.26456771614192903,10,0,"[""1568732763862198696"", ""1757471952938103819"", ""4138215720529872781""]",,,,,MONITOR,nonIID_entropy_adaptive_s11
4,0.32063968015992006,10,0,"[""13258391312828985483"", ""1568732763862198696"", ""1757471952938103819"", ""7608528825893980921""]",,,,,MONITOR,nonIID_entropy_adaptive_s11
5,0.3699150424787606,10,0,"[""12536578965729889850"", ""1568732763862198696"", ""1757471952938103819"", ""4138215720529872781""]",,,,,MONITOR,nonIID_entropy_adaptive_s11
6,0.4052973513243378,10,0,"[""12536578965729889850"", ""1757471952938103819"", ""4138215720529872781""]",,,,,MONITOR,nonIID_entropy_adaptive_s11
7,0.44737631184407795,10,0,"[""1568732763862198696"", ""4138215720529872781"", ""7608528825893980921""]",,,,,MONITOR,nonIID_entropy_adaptive_s11
8,0.4459770114942529,10,0,"[""4138215720529872781"", ""7608528825893980921""]",,,,,MONITOR,nonIID_entropy_adaptive_s11
9,0.46936531734132936,10,0,"[""1568732763862198696"", ""4138215720529872781"", ""7608528825893980921""]",,,,,MONITOR,nonIID_entropy_adaptive_s11
10,0.47476261869065467,10,0,"[""1568732763862198696"", ""1757471952938103819"", ""4138215720529872781""]",,,,,MONITOR,nonIID_entropy_adaptive_s11
11,0.4814592703648176,10,0,"[""1568732763862198696"", ""4138215720529872781""]",,,,,MONITOR,nonIID_entropy_adaptive_s11
12,0.4987506246876562,10,0,"[""1568732763862198696"", ""7608528825893980921""]",,,,,MONITOR,nonIID_entropy_adaptive_s11
13,0.5051474262868566,10,0,"[""13258391312828985483"", ""1568732763862198696"", ""4138215720529872781"", ""7608528825893980921""]",,,,,MONITOR,nonIID_entropy_adaptive_s11
14,0.5091454272863568,10,0,"[""13258391312828985483"", ""1568732763862198696"", ""4138215720529872781""]",,,,,MONITOR,nonIID_entropy_adaptive_s11
15,0.52063968015992,10,0,"[""13258391312828985483"", ""1568732763862198696"", ""4138215720529872781""]",,,,,MONITOR,nonIID_entropy_adaptive_s11
16,0.5282358820589705,10,0,"[""1568732763862198696"", ""4138215720529872781""]",,,,,MONITOR,nonIID_entropy_adaptive_s11
17,0.5221389305347326,10,0,"[""13258391312828985483"", ""1568732763862198696"", ""4138215720529872781""]",,,,,MONITOR,nonIID_entropy_adaptive_s11
18,0.5260369815092454,10,0,"[""1568732763862198696"", ""1757471952938103819"", ""7608528825893980921""]",,,,,MONITOR,nonIID_entropy_adaptive_s11
19,0.5376311844077961,10,0,"[""13258391312828985483"", ""4138215720529872781""]",,,,,MONITOR,nonIID_entropy_adaptive_s11
20,0.5374312843578211,10,0,"[""1568732763862198696"", ""7608528825893980921""]",,,,,MONITOR,nonIID_entropy_adaptive_s11
21,0.5383308345827087,10,0,"[""13258391312828985483"", ""1568732763862198696""]",,,,,MONITOR,nonIID_entropy_adaptive_s11
22,0.5488255872063968,10,0,"[""4138215720529872781"", ""7608528825893980921""]",,,,,MONITOR,nonIID_entropy_adaptive_s11
23,0.5446276861569216,10,0,"[""1568732763862198696"", ""7608528825893980921""]",,,,,MONITOR,nonIID_entropy_adaptive_s11
24,0.5476261869065467,10,0,[],,,,,MONITOR,nonIID_entropy_adaptive_s11
25,0.5627186406796602,10,0,"[""13258391312828985483""]",,,,,MONITOR,nonIID_entropy_adaptive_s11
