cid,mean_accuracy,rounds,total_examples
10142607324360177573,0.5091537132987909,5,2895
13529031785998700347,0.35536809815950915,5,6520
8450158259577345277,0.3064803049555273,5,7870
417062913962717287,0.2523051131601005,5,5965
219175091871855397,0.223407917383821,5,5810
11246996905165993303,0.2073107049608355,5,1915
2261539350220738661,0.20425029515938603,5,4235
12475573460563542607,0.19948320413436688,5,9675
32396880213009216,0.10408921933085498,5,4035
14527032634604254307,0.04072398190045244,5,1105
