round,global_accuracy,num_clients,global_drift_flag,clients_with_drift,delta_t,delta_0,band_lo,band_hi,phase,label
1,0.15692153923038482,10,0,"[""1224811003448141838"", ""14598350896946945943"", ""15656100796165094651"", ""16368078680982623140"", ""4595744341147132574"", ""5383000238575658165"", ""5835788872623094325"", ""9616183947896155429""]",,,,,MONITOR,nonIID_entropy_fixed_s11
2,0.22278860569715142,10,0,"[""15656100796165094651"", ""1641119241606792580"", ""5383000238575658165"", ""9616183947896155429""]",,,,,MONITOR,nonIID_entropy_fixed_s11
3,0.2881559220389805,10,0,"[""1224811003448141838"", ""14598350896946945943"", ""15656100796165094651"", ""16368078680982623140"", ""1641119241606792580"", ""4595744341147132574"", ""5383000238575658165"", ""8894057062500594049"", ""9616183947896155429""]",,,,,MONITOR,nonIID_entropy_fixed_s11
4,0.32443778110944527,10,0,"[""1224811003448141838"", ""14598350896946945943"", ""4595744341147132574"", ""5835788872623094325"", ""8894057062500594049"", ""9616183947896155429""]",,,,,MONITOR,nonIID_entropy_fixed_s11
5,0.3622188905547226,10,0,"[""1224811003448141838"", ""5383000238575658165""]",,,,,MONITOR,nonIID_entropy_fixed_s11
6,0.40519740129935033,10,0,"[""1224811003448141838"", ""14598350896946945943"", ""1641119241606792580"", ""4595744341147132574"", ""9616183947896155429""]",,,,,MONITOR,nonIID_entropy_fixed_s11
7,0.408295852073963,10,0,"[""1224811003448141838"", ""14598350896946945943"", ""15656100796165094651"", ""1641119241606792580"", ""4595744341147132574"", ""5383000238575658165""]",,,,,MONITOR,nonIID_entropy_fixed_s11
8,0.42828585707146427,10,0,"[""14598350896946945943"", ""1641119241606792580"", ""5383000238575658165"", ""8894057062500594049"", ""9616183947896155429""]",,,,,MONITOR,nonIID_entropy_fixed_s11
9,0.4373813093453273,10,0,"[""14598350896946945943"", ""5383000238575658165"", ""5835788872623094325"", ""9616183947896155429""]",,,,,MONITOR,nonIID_entropy_fixed_s11
10,0.4571714142928536,10,0,"[""1224811003448141838"", ""14598350896946945943"", ""1641119241606792580"", ""4595744341147132574"", ""5383000238575658165"", ""8894057062500594049"", ""9616183947896155429""]",,,,,MONITOR,nonIID_entropy_fixed_s11
