round,global_accuracy,num_clients,global_drift_flag,clients_with_drift,delta_t,delta_0,band_lo,band_hi,phase,label
1,0.15582208895552224,10,0,[],,,,,MONITOR,nonIID_kswin_s11
2,0.23258370814592705,10,0,[],,,,,MONITOR,nonIID_kswin_s11
3,0.3075462268865567,10,0,[],,,,,MONITOR,nonIID_kswin_s11
4,0.3565217391304348,10,0,[],,,,,MONITOR,nonIID_kswin_s11
5,0.3471264367816092,10,0,[],,,,,MONITOR,nonIID_kswin_s11
6,0.39920039980009997,10,0,[],,,,,MONITOR,nonIID_kswin_s11
7,0.424487756121939,10,0,[],,,,,MONITOR,nonIID_kswin_s11
8,0.4425787106446777,10,0,[],,,,,MONITOR,nonIID_kswin_s11
9,0.4545727136431784,10,0,[],,,,,MONITOR,nonIID_kswin_s11
10,0.46326836581709147,10,0,[],,,,,MONITOR,nonIID_kswin_s11
11,0.47916041979010493,10,0,[],,,,,MONITOR,nonIID_kswin_s11
12,0.49205397301349324,10,0,[],,,,,MONITOR,nonIID_kswin_s11
13,0.4958520739630185,10,0,[],,,,,MONITOR,nonIID_kswin_s11
14,0.4940529735132434,10,0,[],,,,,MONITOR,nonIID_kswin_s11
15,0.49975012493753124,10,0,[],,,,,MONITOR,nonIID_kswin_s11
16,0.5074462768615692,10,0,[],,,,,MONITOR,nonIID_kswin_s11
17,0.5214392803598201,10,0,[],,,,,MONITOR,nonIID_kswin_s11
18,0.5169415292353823,10,0,[],,,,,MONITOR,nonIID_kswin_s11
19,0.5233383308345827,10,0,[],,,,,MONITOR,nonIID_kswin_s11
20,0.5319340329835083,10,0,[],,,,,MONITOR,nonIID_kswin_s11
21,0.5418290854572714,10,0,[],,,,,MONITOR,nonIID_kswin_s11
22,0.5382308845577212,10,0,[],,,,,MONITOR,nonIID_kswin_s11
23,0.5240379810094953,10,0,[],,,,,MONITOR,nonIID_kswin_s11
24,0.5442278860569715,10,0,[],,,,,MONITOR,nonIID_kswin_s11
25,0.5462268865567217,10,0,[],,,,,MONITOR,nonIID_kswin_s11
