cid,mean_accuracy,rounds,total_examples
194486249895297749,0.5329879101899827,5,2895
5066417887984945841,0.35030674846625764,5,6520
18392990376082896694,0.3229987293519695,5,7870
10110820444823382006,0.2559932942162615,5,5965
14155253448356918187,0.23080939947780674,5,1915
16225309070216622220,0.2280550774526678,5,5810
17215823892688076031,0.21227863046044862,5,4235
10374397492942930047,0.2079586563307493,5,9675
14067593304134339123,0.09392812887236676,5,4035
15105980631427368751,0.03167420814479634,5,1105
