round,global_accuracy,num_clients,global_drift_flag,clients_with_drift,delta_t,delta_0,band_lo,band_hi,phase,label
1,0.14632683658170914,10,0,[],,,,,INIT,nonIID_wilbik_s11
2,0.2096951524237881,10,0,[],,,,,INIT,nonIID_wilbik_s11
3,0.29215392303848076,10,0,[],,,,,INIT,nonIID_wilbik_s11
4,0.320039980009995,10,0,[],,4.5591447130694505,3.419358534802088,5.698930891336813,INIT,nonIID_wilbik_s11
5,0.37071464267866067,10,0,[],4.679486305370136,4.5591447130694505,3.419358534802088,5.698930891336813,MONITOR,nonIID_wilbik_s11
6,0.3887056471764118,10,1,[],5.963644207598147,4.5591447130694505,3.419358534802088,5.698930891336813,MONITOR,nonIID_wilbik_s11
7,0.42308845577211396,10,1,[],7.184673715953579,4.5591447130694505,3.419358534802088,5.698930891336813,MONITOR,nonIID_wilbik_s11
8,0.42938530734632685,10,1,[],7.591826895449102,4.5591447130694505,3.419358534802088,5.698930891336813,MONITOR,nonIID_wilbik_s11
9,0.45517241379310347,10,1,[],7.762401888043137,4.5591447130694505,3.419358534802088,5.698930891336813,MONITOR,nonIID_wilbik_s11
10,0.47136431784107946,10,1,[],8.46428769033301,4.5591447130694505,3.419358534802088,5.698930891336813,MONITOR,nonIID_wilbik_s11
11,0.47456271864067967,10,1,[],8.510575988039033,4.5591447130694505,3.419358534802088,5.698930891336813,MONITOR,nonIID_wilbik_s11
12,0.48095952023988003,10,1,[],9.54064781802618,4.5591447130694505,3.419358534802088,5.698930891336813,MONITOR,nonIID_wilbik_s11
13,0.4870564717641179,10,1,[],9.662506862530963,4.5591447130694505,3.419358534802088,5.698930891336813,MONITOR,nonIID_wilbik_s11
14,0.5087456271864068,10,1,[],9.614554831282694,4.5591447130694505,3.419358534802088,5.698930891336813,MONITOR,nonIID_wilbik_s11
15,0.5080459770114942,10,1,[],9.944543301144277,4.5591447130694505,3.419358534802088,5.698930891336813,MONITOR,nonIID_wilbik_s11
16,0.5154422788605697,10,1,[],10.822412169670619,4.5591447130694505,3.419358534802088,5.698930891336813,MONITOR,nonIID_wilbik_s11
17,0.5081459270364818,10,1,[],10.633893029220483,4.5591447130694505,3.419358534802088,5.698930891336813,MONITOR,nonIID_wilbik_s11
18,0.534632683658171,10,1,[],11.097860462175532,4.5591447130694505,3.419358534802088,5.698930891336813,MONITOR,nonIID_wilbik_s11
19,0.5371314342828586,10,1,[],11.415020723034425,4.5591447130694505,3.419358534802088,5.698930891336813,MONITOR,nonIID_wilbik_s11
20,0.5333333333333333,10,1,[],11.8090697347572,4.5591447130694505,3.419358534802088,5.698930891336813,MONITOR,nonIID_wilbik_s11
21,0.5327336331834083,10,1,[],11.76371982595652,4.5591447130694505,3.419358534802088,5.698930891336813,MONITOR,nonIID_wilbik_s11
22,0.527736131934033,10,1,[],12.117190818414459,4.5591447130694505,3.419358534802088,5.698930891336813,MONITOR,nonIID_wilbik_s11
23,0.5497251374312844,10,1,[],12.536959035896073,4.5591447130694505,3.419358534802088,5.698930891336813,MONITOR,nonIID_wilbik_s11
24,0.5401299350324837,10,1,[],12.240148674155089,4.5591447130694505,3.419358534802088,5.698930891336813,MONITOR,nonIID_wilbik_s11
25,0.5475262368815592,10,1,[],12.909206149184103,4.5591447130694505,3.419358534802088,5.698930891336813,MONITOR,nonIID_wilbik_s11
