round,cid,accuracy,num_examples,drift,label
1,18127474686044955865,0.174,1000,False,IID_adwin
1,8559540708045309985,0.162,1000,False,IID_adwin
1,16813922037762957447,0.165,1000,False,IID_adwin
1,5378793044096401972,0.199,1000,False,IID_adwin
1,10939042529843268765,0.164,1000,False,IID_adwin
1,8138873174734035939,0.183,1000,False,IID_adwin
1,18128263644355942282,0.181,1000,False,IID_adwin
1,16784042804125533243,0.161,1000,False,IID_adwin
1,9322405462336584570,0.174,1000,False,IID_adwin
1,5898740396015645301,0.182,1000,False,IID_adwin
2,18127474686044955865,0.278,1000,False,IID_adwin
2,8559540708045309985,0.282,1000,False,IID_adwin
2,5378793044096401972,0.293,1000,False,IID_adwin
2,8138873174734035939,0.291,1000,False,IID_adwin
2,5898740396015645301,0.287,1000,False,IID_adwin
2,10939042529843268765,0.275,1000,False,IID_adwin
2,18128263644355942282,0.276,1000,False,IID_adwin
2,16813922037762957447,0.278,1000,False,IID_adwin
2,9322405462336584570,0.293,1000,False,IID_adwin
2,16784042804125533243,0.309,1000,False,IID_adwin
3,5898740396015645301,0.316,1000,False,IID_adwin
3,8559540708045309985,0.356,1000,False,IID_adwin
3,9322405462336584570,0.367,1000,False,IID_adwin
3,16784042804125533243,0.366,1000,False,IID_adwin
3,18128263644355942282,0.344,1000,False,IID_adwin
3,10939042529843268765,0.335,1000,False,IID_adwin
3,5378793044096401972,0.364,1000,False,IID_adwin
3,8138873174734035939,0.317,1000,False,IID_adwin
3,16813922037762957447,0.33,1000,False,IID_adwin
3,18127474686044955865,0.356,1000,False,IID_adwin
4,8138873174734035939,0.361,1000,False,IID_adwin
4,9322405462336584570,0.4,1000,False,IID_adwin
4,5898740396015645301,0.373,1000,False,IID_adwin
4,18127474686044955865,0.401,1000,False,IID_adwin
4,18128263644355942282,0.364,1000,False,IID_adwin
4,10939042529843268765,0.354,1000,False,IID_adwin
4,16813922037762957447,0.36,1000,False,IID_adwin
4,8559540708045309985,0.382,1000,False,IID_adwin
4,16784042804125533243,0.413,1000,False,IID_adwin
4,5378793044096401972,0.385,1000,False,IID_adwin
5,5898740396015645301,0.4,1000,False,IID_adwin
5,18127474686044955865,0.421,1000,False,IID_adwin
5,9322405462336584570,0.435,1000,False,IID_adwin
5,16784042804125533243,0.422,1000,False,IID_adwin
5,8138873174734035939,0.413,1000,False,IID_adwin
5,8559540708045309985,0.418,1000,False,IID_adwin
5,5378793044096401972,0.407,1000,False,IID_adwin
5,16813922037762957447,0.411,1000,False,IID_adwin
5,18128263644355942282,0.399,1000,False,IID_adwin
5,10939042529843268765,0.416,1000,False,IID_adwin
