round,cid,accuracy,num_examples,drift,label
1,17286083164062184269,0.1,1000,False,IID_entropy_adaptive
1,17569831475154399921,0.098,1000,False,IID_entropy_adaptive
1,2440836094340974621,0.112,1000,False,IID_entropy_adaptive
1,13825422492818867239,0.119,1000,False,IID_entropy_adaptive
1,7567238104375993239,0.107,1000,False,IID_entropy_adaptive
1,4062026278603254354,0.106,1000,False,IID_entropy_adaptive
1,1664434927141655032,0.113,1000,False,IID_entropy_adaptive
1,2681945631632115902,0.113,1000,False,IID_entropy_adaptive
1,13705337383065737021,0.095,1000,False,IID_entropy_adaptive
1,12312414366893743782,0.126,1000,False,IID_entropy_adaptive
2,13705337383065737021,0.215,1000,False,IID_entropy_adaptive
2,2681945631632115902,0.218,1000,False,IID_entropy_adaptive
2,13825422492818867239,0.215,1000,False,IID_entropy_adaptive
2,1664434927141655032,0.214,1000,False,IID_entropy_adaptive
2,7567238104375993239,0.179,1000,False,IID_entropy_adaptive
2,17569831475154399921,0.179,1000,False,IID_entropy_adaptive
2,4062026278603254354,0.208,1000,False,IID_entropy_adaptive
2,2440836094340974621,0.218,1000,False,IID_entropy_adaptive
2,12312414366893743782,0.202,1000,False,IID_entropy_adaptive
2,17286083164062184269,0.188,1000,False,IID_entropy_adaptive
3,17569831475154399921,0.283,1000,False,IID_entropy_adaptive
3,12312414366893743782,0.272,1000,False,IID_entropy_adaptive
3,4062026278603254354,0.313,1000,False,IID_entropy_adaptive
3,1664434927141655032,0.284,1000,False,IID_entropy_adaptive
3,13825422492818867239,0.297,1000,False,IID_entropy_adaptive
3,13705337383065737021,0.291,1000,False,IID_entropy_adaptive
3,17286083164062184269,0.302,1000,False,IID_entropy_adaptive
3,7567238104375993239,0.283,1000,False,IID_entropy_adaptive
3,2440836094340974621,0.296,1000,False,IID_entropy_adaptive
3,2681945631632115902,0.294,1000,False,IID_entropy_adaptive
4,13825422492818867239,0.368,1000,False,IID_entropy_adaptive
4,17569831475154399921,0.35,1000,False,IID_entropy_adaptive
4,4062026278603254354,0.371,1000,False,IID_entropy_adaptive
4,2440836094340974621,0.362,1000,False,IID_entropy_adaptive
4,13705337383065737021,0.346,1000,False,IID_entropy_adaptive
4,2681945631632115902,0.333,1000,False,IID_entropy_adaptive
4,17286083164062184269,0.348,1000,False,IID_entropy_adaptive
4,1664434927141655032,0.347,1000,False,IID_entropy_adaptive
4,7567238104375993239,0.328,1000,False,IID_entropy_adaptive
4,12312414366893743782,0.348,1000,False,IID_entropy_adaptive
5,7567238104375993239,0.36,1000,False,IID_entropy_adaptive
5,2681945631632115902,0.372,1000,False,IID_entropy_adaptive
5,12312414366893743782,0.387,1000,False,IID_entropy_adaptive
5,13825422492818867239,0.414,1000,False,IID_entropy_adaptive
5,17286083164062184269,0.402,1000,False,IID_entropy_adaptive
5,2440836094340974621,0.418,1000,False,IID_entropy_adaptive
5,17569831475154399921,0.385,1000,False,IID_entropy_adaptive
5,1664434927141655032,0.397,1000,False,IID_entropy_adaptive
5,13705337383065737021,0.385,1000,False,IID_entropy_adaptive
5,4062026278603254354,0.423,1000,False,IID_entropy_adaptive
