round,cid,accuracy,num_examples,drift,label
1,10981340529864736220,0.244,1000,True,IID_entropy_fixed
1,11712441211371132933,0.23,1000,True,IID_entropy_fixed
1,6506889501066305439,0.243,1000,True,IID_entropy_fixed
1,3697429367492572166,0.226,1000,True,IID_entropy_fixed
1,17662024222499876865,0.223,1000,True,IID_entropy_fixed
1,15072697119482821416,0.245,1000,True,IID_entropy_fixed
1,16103813087167264507,0.246,1000,True,IID_entropy_fixed
1,5032336586354105895,0.241,1000,True,IID_entropy_fixed
1,10260545904023995825,0.247,1000,True,IID_entropy_fixed
1,2960276532189306276,0.237,1000,True,IID_entropy_fixed
2,6506889501066305439,0.285,1000,True,IID_entropy_fixed
2,2960276532189306276,0.286,1000,True,IID_entropy_fixed
2,11712441211371132933,0.314,1000,True,IID_entropy_fixed
2,16103813087167264507,0.316,1000,True,IID_entropy_fixed
2,5032336586354105895,0.307,1000,False,IID_entropy_fixed
2,10981340529864736220,0.315,1000,False,IID_entropy_fixed
2,10260545904023995825,0.296,1000,True,IID_entropy_fixed
2,3697429367492572166,0.295,1000,True,IID_entropy_fixed
2,15072697119482821416,0.316,1000,True,IID_entropy_fixed
2,17662024222499876865,0.305,1000,True,IID_entropy_fixed
3,17662024222499876865,0.346,1000,True,IID_entropy_fixed
3,10981340529864736220,0.397,1000,True,IID_entropy_fixed
3,16103813087167264507,0.381,1000,True,IID_entropy_fixed
3,11712441211371132933,0.376,1000,True,IID_entropy_fixed
3,15072697119482821416,0.36,1000,False,IID_entropy_fixed
3,3697429367492572166,0.372,1000,True,IID_entropy_fixed
3,5032336586354105895,0.364,1000,True,IID_entropy_fixed
3,2960276532189306276,0.329,1000,True,IID_entropy_fixed
3,10260545904023995825,0.328,1000,True,IID_entropy_fixed
3,6506889501066305439,0.347,1000,False,IID_entropy_fixed
4,6506889501066305439,0.378,1000,True,IID_entropy_fixed
4,15072697119482821416,0.404,1000,True,IID_entropy_fixed
4,16103813087167264507,0.407,1000,True,IID_entropy_fixed
4,5032336586354105895,0.398,1000,True,IID_entropy_fixed
4,3697429367492572166,0.388,1000,True,IID_entropy_fixed
4,10260545904023995825,0.362,1000,True,IID_entropy_fixed
4,10981340529864736220,0.428,1000,False,IID_entropy_fixed
4,2960276532189306276,0.374,1000,False,IID_entropy_fixed
4,17662024222499876865,0.384,1000,True,IID_entropy_fixed
4,11712441211371132933,0.388,1000,True,IID_entropy_fixed
5,6506889501066305439,0.405,1000,True,IID_entropy_fixed
5,15072697119482821416,0.423,1000,True,IID_entropy_fixed
5,3697429367492572166,0.433,1000,True,IID_entropy_fixed
5,16103813087167264507,0.452,1000,True,IID_entropy_fixed
5,10260545904023995825,0.401,1000,True,IID_entropy_fixed
5,2960276532189306276,0.404,1000,True,IID_entropy_fixed
5,11712441211371132933,0.418,1000,True,IID_entropy_fixed
5,5032336586354105895,0.435,1000,True,IID_entropy_fixed
5,17662024222499876865,0.431,1000,True,IID_entropy_fixed
5,10981340529864736220,0.45,1000,True,IID_entropy_fixed
