round,cid,accuracy,num_examples,drift,label
1,17775512175905467071,0.184,1000,False,IID_wilbik
1,17498941126960822941,0.185,1000,False,IID_wilbik
1,11524018462176523094,0.222,1000,False,IID_wilbik
1,9359184607891533665,0.196,1000,False,IID_wilbik
1,17745607345905507048,0.223,1000,False,IID_wilbik
1,16963596163529797682,0.206,1000,False,IID_wilbik
1,4391825191163519514,0.186,1000,False,IID_wilbik
1,8803677839499576376,0.219,1000,False,IID_wilbik
1,1581707510032875957,0.195,1000,False,IID_wilbik
1,836092290281273963,0.189,1000,False,IID_wilbik
2,8803677839499576376,0.295,1000,False,IID_wilbik
2,16963596163529797682,0.3,1000,False,IID_wilbik
2,11524018462176523094,0.294,1000,False,IID_wilbik
2,1581707510032875957,0.274,1000,False,IID_wilbik
2,836092290281273963,0.28,1000,False,IID_wilbik
2,17775512175905467071,0.287,1000,False,IID_wilbik
2,4391825191163519514,0.306,1000,False,IID_wilbik
2,17745607345905507048,0.297,1000,False,IID_wilbik
2,9359184607891533665,0.282,1000,False,IID_wilbik
2,17498941126960822941,0.281,1000,False,IID_wilbik
3,17498941126960822941,0.33,1000,False,IID_wilbik
3,4391825191163519514,0.352,1000,False,IID_wilbik
3,17775512175905467071,0.327,1000,False,IID_wilbik
3,8803677839499576376,0.372,1000,False,IID_wilbik
3,11524018462176523094,0.375,1000,False,IID_wilbik
3,1581707510032875957,0.329,1000,False,IID_wilbik
3,9359184607891533665,0.329,1000,False,IID_wilbik
3,16963596163529797682,0.378,1000,False,IID_wilbik
3,17745607345905507048,0.358,1000,False,IID_wilbik
3,836092290281273963,0.331,1000,False,IID_wilbik
4,17775512175905467071,0.35,1000,False,IID_wilbik
4,4391825191163519514,0.397,1000,False,IID_wilbik
4,17745607345905507048,0.387,1000,False,IID_wilbik
4,16963596163529797682,0.4,1000,False,IID_wilbik
4,836092290281273963,0.379,1000,False,IID_wilbik
4,9359184607891533665,0.365,1000,False,IID_wilbik
4,17498941126960822941,0.358,1000,False,IID_wilbik
4,1581707510032875957,0.364,1000,False,IID_wilbik
4,8803677839499576376,0.397,1000,False,IID_wilbik
4,11524018462176523094,0.397,1000,False,IID_wilbik
5,1581707510032875957,0.392,1000,False,IID_wilbik
5,836092290281273963,0.416,1000,False,IID_wilbik
5,11524018462176523094,0.42,1000,False,IID_wilbik
5,9359184607891533665,0.403,1000,False,IID_wilbik
5,16963596163529797682,0.413,1000,False,IID_wilbik
5,17745607345905507048,0.394,1000,False,IID_wilbik
5,17498941126960822941,0.41,1000,False,IID_wilbik
5,17775512175905467071,0.368,1000,False,IID_wilbik
5,8803677839499576376,0.429,1000,False,IID_wilbik
5,4391825191163519514,0.42,1000,False,IID_wilbik
